행정구역별(읍면동),연령별,2019,2019,2019,2019,2019,2019,2019,2019
행정구역별(읍면동),연령별,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
　　　동구,합계,"63,003","31,760","31,243",101.7,"61,744","31,053","30,691",101.2
　　　연수구,합계,"374,413","186,902","187,511",99.7,"355,529","176,863","178,666",99.0
　　　남동구,합계,"533,119","267,291","265,828",100.6,"515,481","255,756","259,725",98.5
　　　부평구,합계,"514,385","254,711","259,674",98.1,"493,540","244,177","249,363",97.9
　　　계양구,합계,"298,912","148,434","150,478",98.6,"294,175","146,295","147,880",98.9
　　　서구,합계,"540,655","275,606","265,049",104.0,"523,012","263,711","259,301",101.7
　　　미추홀구,합계,"411,612","207,840","203,772",102.0,"399,260","201,556","197,704",101.9
　　　강화군,합계,"65,235","32,781","32,454",101.0,"64,004","31,985","32,019",99.9
　　　옹진군,합계,"19,040","10,926","8,114",134.7,"18,706","10,687","8,019",133.3
　　　동구,합계,"103,754","51,747","52,007",99.5,"101,181","50,421","50,760",99.3
　　　서구,합계,"298,033","147,067","150,966",97.4,"295,601","145,929","149,672",97.5
　　　남구,합계,"217,972","105,267","112,705",93.4,"215,820","104,374","111,446",93.7
　　　북구,합계,"446,661","222,727","223,934",99.5,"439,737","219,360","220,377",99.5
　　　광산구,합계,"423,310","214,479","208,831",102.7,"404,105","202,855","201,250",100.8
　　　동구,합계,"237,273","119,605","117,668",101.6,"230,735","116,497","114,238",102.0
　　　중구,합계,"234,995","115,835","119,160",97.2,"232,914","115,035","117,879",97.6
　　　서구,합계,"480,920","236,242","244,678",96.6,"476,257","234,264","241,993",96.8
　　　유성구,합계,"366,544","189,078","177,466",106.5,"357,945","184,541","173,404",106.4
　　　대덕구,합계,"179,107","90,825","88,282",102.9,"175,841","89,184","86,657",102.9
　　　읍부,합계,"171,448","89,957","81,491",110.4,"164,125","85,278","78,847",108.2
　　　면부,합계,"55,053","29,048","26,005",111.7,"51,900","26,482","25,418",104.2
　　　동부,합계,"917,191","472,960","444,231",106.5,"899,063","462,786","436,277",106.1
　　　중구,합계,"219,428","111,433","107,995",103.2,"216,449","110,164","106,285",103.6
　　　남구,합계,"322,135","164,591","157,544",104.5,"315,224","160,907","154,317",104.3
　　　동구,합계,"162,104","86,075","76,029",113.2,"157,271","82,900","74,371",111.5
　　　북구,합계,"213,524","110,861","102,663",108.0,"210,119","108,815","101,304",107.4
　　　울주군,합계,"226,501","119,005","107,496",110.7,"216,025","111,760","104,265",107.2
　　　읍부,합계,"50,338","26,341","23,997",109.8,"48,174","25,150","23,024",109.2
　　　면부,합계,"51,408","28,335","23,073",122.8,"47,450","25,419","22,031",115.4
　　　동부,합계,"236,390","115,472","120,918",95.5,"234,683","114,719","119,964",95.6
　　　세종시,합계,"338,136","170,148","167,988",101.3,"330,307","165,288","165,019",100.2
　　　읍부,합계,"1,459,827","760,526","699,301",108.8,"1,372,375","702,336","670,039",104.8
　　　면부,합계,"807,497","448,730","358,767",125.1,"710,653","374,316","336,337",111.3
　　　동부,합계,"11,033,576","5,531,192","5,502,384",100.5,"10,623,077","5,308,542","5,314,535",99.9
　　　수원시,합계,"1,214,986","614,493","600,493",102.3,"1,158,800","584,662","574,138",101.8
　　　장안구,합계,"282,288","143,174","139,114",102.9,"271,875","137,699","134,176",102.6
　　　권선구,합계,"374,770","189,282","185,488",102.0,"359,431","181,368","178,063",101.9
　　　팔달구,합계,"189,052","95,973","93,079",103.1,"168,601","84,799","83,802",101.2
　　　영통구,합계,"368,876","186,064","182,812",101.8,"358,893","180,796","178,097",101.5
　　　성남시,합계,"919,895","455,369","464,526",98.0,"893,188","441,870","451,318",97.9
　　　수정구,합계,"241,256","121,729","119,527",101.8,"225,627","113,783","111,844",101.7
　　　중원구,합계,"216,005","108,919","107,086",101.7,"211,236","106,644","104,592",102.0
　　　분당구,합계,"462,634","224,721","237,913",94.5,"456,325","221,443","234,882",94.3
　　　의정부시,합계,"440,357","216,737","223,620",96.9,"433,491","213,519","219,972",97.1
　　　안양시,합계,"557,339","275,659","281,680",97.9,"546,191","270,130","276,061",97.9
　　　만안구,합계,"246,200","122,820","123,380",99.5,"237,827","118,626","119,201",99.5
　　　동안구,합계,"311,139","152,839","158,300",96.6,"308,364","151,504","156,860",96.6
　　　부천시,합계,"836,751","415,264","421,487",98.5,"801,074","397,134","403,940",98.3
　　　광명시,합계,"313,462","154,896","158,566",97.7,"304,507","150,471","154,036",97.7
　　　평택시,합계,"521,172","271,966","249,206",109.1,"487,635","252,234","235,401",107.2
　　　동두천시,합계,"96,541","48,387","48,154",100.5,"91,940","45,802","46,138",99.3
　　　안산시,합계,"714,650","370,739","343,911",107.8,"635,294","325,047","310,247",104.8
　　　상록구,합계,"356,620","181,899","174,721",104.1,"337,575","171,951","165,624",103.8
　　　단원구,합계,"358,030","188,840","169,190",111.6,"297,719","153,096","144,623",105.9
